x y
119.19814862309454 898.6745920577123
1093.234000310624 597.7918277600252
1083.033781141465 589.0949140108368
1300.696217436982 1198.180548733924
1105.3699856024061 612.1843203964854
1293.6372405675575 1214.382785045733
85.62677988159864 896.0611865182049
1303.0066285671383 1210.2152785281057
90.77055396057257 903.1085068903303
99.60801044028585 912.2351436693614
1298.9911232169359 1196.688356207839
1115.0976187327299 599.2418271257899
108.05808651754785 892.9270460904957
1097.7008345108197 594.3586556064756
1093.7070164131178 597.8075110016783
1299.9014574556038 1210.570874429868
1098.236134732139 606.5456885025657
1293.083528895467 1201.9547917021794
1310.467938711452 1201.406130569467
1305.5202941614286 1184.8050731602093
99.75922984373322 898.9450034545723
101.38254558713248 892.4093463268472
97.97288215928067 896.9430596417602
1103.9047921131698 619.7100826429906
99.0432488662698 892.5637141282683
87.37378801238702 903.6607777019453
1094.6456575353368 596.2714491128442
1300.7739840768404 1200.6882807397205
1092.9464864225997 607.9188452953872
1290.6217085209237 1204.1119902278656
